iter	RMSE
163	4.095382752
164	4.095020606
165	4.094819185
166	4.094428011
167	4.094259964
168	4.093915638
169	4.093076817
170	4.092638111
171	4.092502776
172	4.091968988
173	4.091345301
174	4.091206971
175	4.090668828
176	4.089733691
177	4.089605544
178	4.089244688
179	4.088434751
180	4.088112467
181	4.087681143
182	4.087004667
183	4.086356083
184	4.085821867
185	4.085671082
186	4.085490557
187	4.085315792
188	4.085074417
189	4.084310226
190	4.083828348
191	4.083018696
192	4.0824625
193	4.081902035
194	4.08091381
195	4.08004953
196	4.079355691
197	4.078851244
198	4.07836757
199	4.078136715
200	4.077627841
201	4.077378966
202	4.076632339
203	4.076294083
204	4.076153429
205	4.075514102
206	4.075217557
207	4.074805177
208	4.074260885
209	4.073769365
210	4.073219816
211	4.072581746
212	4.072027773
213	4.071501247
214	4.070913548
215	4.070477345
216	4.069401142
217	4.069000607
218	4.068590943
219	4.06763371
220	4.067286412
221	4.066764609
222	4.065720774
223	4.064603041
224	4.06421072
225	4.063372732
226	4.063070042
227	4.062570919
228	4.062203623
229	4.061651009
230	4.060629598
231	4.060037921
232	4.059488021
233	4.059208532
234	4.058789514
235	4.057898565
236	4.05757234
237	4.057215391
238	4.056927778
239	4.056290594
240	4.055778223
241	4.05508234
242	4.054689176
243	4.054108741
244	4.053698549
245	4.053184958
246	4.052800792
247	4.052350045
248	4.052088094
249	4.051642204
250	4.050896711
251	4.050221065
252	4.049889345
253	4.049613055
254	4.048977619
255	4.048584485
256	4.047711327
257	4.047258709
258	4.04686111
259	4.046536071
260	4.045970009
261	4.045384068
262	4.045043625
263	4.044625724
264	4.044373872
265	4.044108913
266	4.043779844
267	4.043216941
268	4.04240188
269	4.042188937
270	4.041653088
271	4.041424319
272	4.040802287
273	4.040527002
274	4.039865055
275	4.039378242
276	4.039031738
277	4.038753969
278	4.038499132
279	4.038138562
280	4.03768957
281	4.037215111
282	4.03690832
283	4.036716017
284	4.036236761
285	4.035877924
286	4.0353777
287	4.035082895
288	4.034637846
289	4.034465039
290	4.033785342
291	4.033600856
292	4.033156719
293	4.032523464
294	4.032011794
295	4.031377581
296	4.031246424
297	4.030688175
298	4.03012155
299	4.029884073
300	4.029475527
301	4.029031597
302	4.02865172
303	4.028395351
304	4.028027857
305	4.027834671
306	4.027706534
307	4.027518291
308	4.026989924
309	4.026849317
310	4.026467398
311	4.026228533
312	4.026006147
313	4.025460878
314	4.025045435
315	4.024907402
316	4.024573434
317	4.024281393
318	4.023847948
319	4.023412763
320	4.023200424
321	4.022727406
322	4.022598485
323	4.022210605
324	4.021794038
325	4.021186454
326	4.020759921
327	4.020585079
328	4.020265143
329	4.019920899
330	4.019507331
331	4.018929174
332	4.018492037
333	4.01824508
334	4.018077774
335	4.017683468
336	4.017313588
337	4.017130507
338	4.016645519
339	4.016323471
340	4.015987145
341	4.015619356
342	4.01539579
343	4.01504644
344	4.01476606
345	4.014650813
346	4.014094984
347	4.013844391
348	4.013444829
349	4.012909498
350	4.012751297
351	4.012254666
352	4.011991486
353	4.011611367
354	4.011478177
355	4.010986278
356	4.010765587
357	4.010544157
358	4.010412404
359	4.010304595
360	4.010045883
361	4.009765316
362	4.009308215
363	4.008996299
364	4.008704576
365	4.008386638
366	4.007927363
367	4.007738507
368	4.00744453
369	4.00712279
370	4.006826784
371	4.006342339
372	4.005978034
373	4.005613225
374	4.005326825
375	4.004983172
376	4.00461382
377	4.004181832
378	4.00391
379	4.003612016
380	4.003509899
381	4.003422483
382	4.003290471
383	4.002983785
384	4.00248125
385	4.002107278
386	4.001680681
387	4.001567492
388	4.001214367
389	4.000997171
390	4.000664636
391	4.000520782
392	4.000077133
393	3.999855037
394	3.999570192
395	3.999320024
396	3.99911811
397	3.998769026
398	3.998534527
399	3.998421224
400	3.998340704
401	3.998174437
402	3.998113048
403	3.997839667
404	3.997689527
405	3.997347244
406	3.997251795
407	3.996822063
408	3.996648397
409	3.996368908
410	3.995970902
411	3.995669874
412	3.995301254
413	3.995041863
414	3.994744282
415	3.994418569
416	3.994178523
417	3.994095871
418	3.994031987
419	3.993739444
420	3.993647198
421	3.993363246
422	3.99294941
423	3.992644554
424	3.992373626
425	3.99224761
426	3.991860597
427	3.991644222
428	3.99156311
429	3.991491323
430	3.991321739
431	3.990897492
432	3.990653806
433	3.990367271
434	3.990130997
435	3.989891141
436	3.989560744
437	3.989319498
438	3.989045456
439	3.988852261
440	3.988561333
441	3.988356724
442	3.98805295
443	3.987715445
444	3.987501549
445	3.987190936
446	3.987014944
447	3.986864042
448	3.986628422
449	3.986387734
450	3.986142361
451	3.985949914
452	3.985699349
453	3.985487075
454	3.985328756
455	3.985103347
456	3.984992215
457	3.984761657
458	3.98467591
459	3.984455963
460	3.984331537
461	3.984075215
462	3.983875346
463	3.983778387
464	3.983563566
465	3.983405437
466	3.983286836
467	3.983032509
468	3.982937237
469	3.982719206
470	3.982633071
471	3.98259445
472	3.982465089
473	3.982352881
474	3.982149465
475	3.982035809
476	3.981970904
477	3.981688508
478	3.981377108
479	3.981233722
480	3.981167714
481	3.981045843
482	3.980834653
483	3.980592647
484	3.980530944
485	3.980300833
486	3.97995467
487	3.97985537
488	3.979597891
489	3.979334203
490	3.979157572
491	3.978963146
492	3.978686849
493	3.978506291
494	3.978319657
495	3.978195866
496	3.97813859
497	3.977929279
498	3.977762298
499	3.977648638
500	3.977522935
501	3.977275049
502	3.977034615
503	3.976974367
504	3.976916673
505	3.976720849
506	3.976654336
507	3.976326386
508	3.976153197
509	3.975985412
510	3.975864545
511	3.975491493
512	3.975337887
513	3.975091846
514	3.974886506
515	3.974723129
516	3.974505977
517	3.974323214
518	3.974060494
519	3.973978755
520	3.973708479
521	3.973653843
522	3.973479989
523	3.973299568
524	3.973224583
525	3.973099088
526	3.972751886
527	3.972569891
528	3.97237473
529	3.972269415
530	3.972215559
531	3.972048705
532	3.971904852
533	3.971861745
534	3.971682471
535	3.971584308
536	3.971326517
537	3.971020253
538	3.97083455
539	3.970735229
540	3.970635535
541	3.970432802
542	3.970378533
543	3.970218901
544	3.97016791
545	3.970003183
546	3.969825003
547	3.969576827
548	3.969429001
549	3.969190284
550	3.969025853
551	3.968876061
552	3.968660579
553	3.968444185
554	3.968291748
555	3.968225316
556	3.967989081
557	3.967881232
558	3.9676909
559	3.967536809
560	3.967353134
561	3.96723974
562	3.967068597
563	3.966889116
564	3.966724001
565	3.966427897
566	3.966317567
567	3.966136147
568	3.965955786
569	3.965911658
570	3.965802929
571	3.965694971
572	3.965601004
573	3.965415296
574	3.965144465
575	3.964979659
576	3.964788417
577	3.964637796
578	3.96451029
579	3.96433783
580	3.964182603
581	3.96404997
582	3.963926018
583	3.963776097
584	3.963580822
585	3.963336487
586	3.96323091
587	3.963116909
588	3.96293096
589	3.962888389
590	3.962668323
591	3.962547555
592	3.962489802
593	3.962254344
594	3.962130996
595	3.961973739
596	3.961740153
597	3.961701853
598	3.961521289
599	3.961351896
600	3.961255556
601	3.961044953
602	3.960920432
603	3.960726671
604	3.960604309
605	3.960543651
606	3.960339984
607	3.960150174
608	3.960008314
609	3.959957406
610	3.959806291
611	3.959690054
612	3.959526285
613	3.959371688
614	3.959270922
615	3.95909148
616	3.958930434
617	3.958859334
618	3.958742992
619	3.958558062
620	3.958506172
621	3.958338764
622	3.958293427
623	3.95819434
624	3.958079923
625	3.95791369
626	3.957814978
627	3.957703597
628	3.957574276
629	3.957402172
630	3.957292657
631	3.9571653
632	3.957052838
633	3.956928255
634	3.956873786
635	3.956736143
636	3.95670941
637	3.956544694
638	3.956479002
639	3.956365763
640	3.956215489
641	3.956037197
642	3.956003498
643	3.955865048
644	3.955815974
645	3.955726178
646	3.955574678
647	3.955504559
648	3.955319755
649	3.955140649
650	3.954994629
651	3.954840523
652	3.954655528
653	3.954493019
654	3.954361552
655	3.954234004
656	3.954105152
657	3.953930592
658	3.95381675
659	3.953768621
660	3.953688658
661	3.953587612
662	3.953509089
663	3.953396255
664	3.953258176
665	3.953136276
666	3.953050068
667	3.952929055
668	3.952814415
669	3.952700843
670	3.95262081
671	3.952459381
672	3.95237646
673	3.952262287
674	3.952166699
675	3.95213171
676	3.951933748
677	3.951782999
678	3.951679218
679	3.951578872
680	3.951550548
681	3.951428824
682	3.951274165
683	3.951094242
684	3.95097069
685	3.950846679
686	3.95075915
687	3.95066649
688	3.950567885
689	3.950455265
690	3.950361033
691	3.9502762
692	3.950160057
693	3.950058216
694	3.949984836
695	3.949912677
696	3.949878115
697	3.949833548
698	3.949734827
699	3.94959913
700	3.949489572
701	3.949403314
702	3.949303982
703	3.949212145
704	3.949122754
705	3.948954032
706	3.948919774
707	3.948848842
708	3.948743771
709	3.948645355
710	3.948528151
711	3.948497278
712	3.948403551
713	3.948371643
714	3.948338316
715	3.94823975
716	3.948213665
717	3.94809964
718	3.947971093
719	3.947872617
720	3.947848027
721	3.947810745
722	3.947721335
723	3.947651761
724	3.947544393
725	3.947439616
726	3.947412617
727	3.947321347
728	3.947283109
729	3.947136233
730	3.946986159
731	3.946873377
732	3.946776336
733	3.946723353
734	3.946636381
735	3.946535753
736	3.946432288
737	3.946405359
738	3.946343823
739	3.946235164
740	3.946172143
741	3.946081141
742	3.945972685
743	3.945886434
744	3.94581554
745	3.945711946
746	3.945686804
747	3.945615337
748	3.945491882
749	3.945351152
750	3.945221483
751	3.945059508
752	3.944971816
753	3.944909153
754	3.944844948
755	3.944777748
756	3.944690894
757	3.944591842
758	3.944522686
759	3.944450655
760	3.944367316
761	3.944305996
762	3.944226701
763	3.944128455
764	3.944042619
765	3.943936504
766	3.943870712
767	3.94378536
768	3.943650952
769	3.94363011
770	3.943578296
771	3.94346325
772	3.94331726
773	3.943250097
774	3.943131529
775	3.943058801
776	3.943030973
777	3.942958239
778	3.942914997
779	3.942842528
780	3.942722635
781	3.942648555
782	3.942582281
783	3.942524104
784	3.942457024
785	3.942438227
786	3.942369562
787	3.942279822
788	3.94216965
789	3.942109409
790	3.942054505
791	3.94202692
792	3.94196801
793	3.941910463
794	3.941832928
795	3.941726723
796	3.941626837
797	3.941533205
798	3.941468023
799	3.94142117
800	3.941399371
801	3.941338827
802	3.941281816
803	3.941188014
804	3.941141258
805	3.941052378
806	3.940944486
807	3.940840143
808	3.940753349
809	3.940604442
810	3.94055326
811	3.940507323
812	3.940438391
813	3.940366684
814	3.940280635
815	3.940197962
816	3.940134521
817	3.940090485
818	3.94003252
819	3.939980753
820	3.939902057
821	3.939801619
822	3.939738833
823	3.939685602
824	3.939583121
825	3.939443619
826	3.939403499
827	3.939380259
828	3.939303235
829	3.939231635
830	3.939156906
831	3.939136521
832	3.939055843
833	3.938966302
834	3.938874108
835	3.938820841
836	3.938750847
837	3.938631712
838	3.938614931
839	3.938558517
840	3.938495281
841	3.938406865
842	3.938296955
843	3.938250053
844	3.938189134
845	3.938116371
846	3.938038401
847	3.938019345
848	3.937967917
849	3.937901549
850	3.937862076
851	3.937844302
852	3.93779681
853	3.937694048
854	3.937587674
855	3.937550701
856	3.937479962
857	3.937409196
858	3.937367619
859	3.937264851
860	3.937177888
861	3.937161331
862	3.937138299
863	3.937071686
864	3.937020966
865	3.936981763
866	3.936884785
867	3.936779845
868	3.936733166
869	3.936675593
870	3.936630461
871	3.936574399
872	3.936519387
873	3.93645623
874	3.936429652
875	3.936311769
876	3.936275304
877	3.936181435
878	3.936165776
879	3.936146206
880	3.93610031
881	3.936019643
882	3.935973295
883	3.93591317
884	3.935878908
885	3.935756265
886	3.93568162
887	3.935655124
888	3.935589608
889	3.935539331
890	3.935492783
891	3.935433794
892	3.935415309
893	3.935368263
894	3.935299642
895	3.935262219
896	3.935239523
897	3.935179047
898	3.935099484
899	3.934998067
900	3.934922837
901	3.934857239
902	3.93478626
903	3.934745653
904	3.934711669
905	3.934650834
906	3.934585536
907	3.934515212
908	3.934469781
909	3.934410977
910	3.934361994
911	3.934271159
912	3.934237618
913	3.934190927
914	3.934120412
915	3.934046737
916	3.933980459
917	3.933956804
918	3.933906092
919	3.933847565
920	3.933774314
921	3.93370744
922	3.933675001
923	3.933610123
924	3.933495879
925	3.933413176
926	3.93337546
927	3.933305406
928	3.933241755
929	3.93316418
930	3.933152217
931	3.933094326
932	3.933051591
933	3.93299115
934	3.932962965
935	3.93290729
936	3.932834287
937	3.932776437
938	3.932722094
939	3.932666361
940	3.932604538
941	3.932543191
942	3.932468442
943	3.932445663
944	3.932384294
945	3.932319117
946	3.932294243
947	3.932226772
948	3.932158548
949	3.93205598
950	3.931987714
951	3.931974868
952	3.931916324
953	3.931850982
954	3.931799304
955	3.931787312
956	3.93173095
957	3.931688706
958	3.931648129
959	3.931616261
960	3.931547393
961	3.931497836
962	3.931460708
963	3.931377904
964	3.931327642
965	3.93126412
966	3.931173842
967	3.931107251
968	3.931072607
969	3.931021824
970	3.93100846
971	3.930978932
972	3.930915545
973	3.930858174
974	3.930802587
975	3.930749688
976	3.930667051
977	3.930584062
978	3.930525493
979	3.930470153
980	3.930432807
981	3.93037108
982	3.930345857
983	3.93033316
984	3.930292263
985	3.93025466
986	3.93019782
987	3.930150645
988	3.93005378
989	3.930000259
990	3.929952401
991	3.929902016
992	3.929868524
993	3.92983423
994	3.929807651
995	3.929767853
996	3.929701569
997	3.929686205
998	3.929636246
999	3.929570567
